,0,temp,humidity,latitude,cloudiness,wind speed
0,Kapaa,78.08,68,22.08,75,4.63
1,Rikitea,80.63,95,-23.12,32,15.86
2,Bredasdorp,68.0,77,-34.53,92,8.05
3,Qaanaaq,-14.06,82,77.48,0,9.93
4,Castro,55.4,58,-42.48,75,18.34
5,Coquimbo,71.6,49,-29.95,0,14.99
6,Butaritari,84.09,100,3.07,20,8.43
7,Naze,75.2,64,5.43,0,5.35
8,Cape Town,68.0,72,-33.93,20,20.8
9,Nikolskoye,26.6,92,59.7,75,4.47
10,Kajiado,66.2,82,-1.85,0,4.7
11,Mataura,61.68,65,-46.19,64,4.52
12,Georgetown,82.4,78,6.8,75,13.87
13,Miranda de Ebro,48.2,86,42.69,75,8.05
14,Kruisfontein,63.8,96,-34.0,92,7.31
15,Moctezuma,62.4,57,29.81,88,2.77
16,Nishihara,41.0,64,35.74,1,17.22
17,Kizilskoye,0.21,72,52.73,12,9.89
18,Ushuaia,55.4,61,-54.81,40,18.34
19,Provideniya,1.4,77,64.42,12,26.84
20,Nanortalik,31.98,97,60.14,92,11.34
21,Plettenberg Bay,65.91,100,-34.05,76,1.72
22,Kavieng,84.09,100,-2.57,76,8.81
23,Punta Arenas,55.4,54,-53.16,40,18.34
24,Puerto Ayora,86.0,55,-0.74,20,8.05
25,Saint-Joseph,51.8,62,43.56,24,14.99
26,Faanui,83.19,100,-16.48,56,5.53
27,Lake Cowichan,42.8,100,48.82,90,9.93
28,Konigstein,37.4,93,50.92,90,17.22
29,Gari,16.05,72,59.43,80,7.81
30,Avarua,80.6,61,-21.21,40,6.93
31,Saint-Philippe,35.96,86,45.36,90,6.93
32,Dikson,-8.61,97,73.51,44,9.04
33,Puerto Baquerizo Moreno,82.4,69,-0.9,0,11.41
34,Atuona,80.45,100,-9.8,64,16.15
35,Bethel,8.6,84,60.79,90,8.05
36,Alofi,82.4,88,-19.06,75,6.93
37,Tamiahua,75.9,90,21.28,24,6.24
38,Busselton,65.55,100,-33.64,0,18.84
39,Yar-Sale,-15.09,90,66.83,0,4.34
40,Klaksvik,33.8,74,62.23,8,1.12
41,New Norfolk,55.4,47,-42.78,20,16.11
42,Elverum,30.63,68,60.88,48,9.15
43,Coroata,79.95,75,-6.39,68,4.29
44,Bambous Virieux,80.6,83,-20.34,40,10.29
45,Karad,49.71,87,17.29,0,3.06
46,Imbituba,80.6,74,-28.24,75,8.05
47,Torbay,19.4,79,47.66,90,21.92
48,Mehamn,26.6,86,71.03,75,4.7
49,Hobart,53.6,50,-42.88,20,13.87
50,Mahebourg,80.6,83,-20.41,40,10.29
51,Katsuura,44.6,45,33.93,40,21.92
52,Aksu,-0.41,91,52.04,0,8.95
53,Jamestown,54.84,93,-33.21,32,9.44
54,Upernavik,-2.18,100,72.79,76,9.55
55,Aklavik,-23.81,65,68.22,5,2.24
56,Albany,42.08,86,42.65,90,8.05
57,Minamiashigara,41.0,64,35.32,1,17.22
58,Vanderhoof,12.45,67,54.02,36,3.06
59,Fortuna,48.2,81,38.18,0,4.7
60,Victoria,80.6,94,5.28,75,4.29
61,Pevek,-15.45,69,69.7,0,3.85
62,Nchelenge,69.42,93,-9.35,56,2.77
63,Tiksi,-35.48,0,71.64,12,3.62
64,Khatanga,-18.42,26,71.98,56,4.07
65,Hermanus,62.63,93,-34.42,92,4.63
66,Ponta do Sol,71.9,96,-20.63,32,3.89
67,Abbeyfeale,48.2,93,52.38,75,4.7
68,Alyangula,84.2,83,-13.85,36,3.36
69,Hilo,75.92,59,19.71,1,3.36
70,Houma,17.49,64,35.63,68,5.08
71,Calama,73.4,39,-22.46,0,23.04
72,Magadan,16.59,100,59.56,48,28.68
73,High Level,-3.53,62,58.52,20,5.12
74,Namibe,72.93,100,-15.19,0,3.78
75,Hithadhoo,81.98,100,-0.6,80,12.39
76,Mar del Plata,62.27,36,-46.43,92,16.82
77,Westport,42.8,100,53.8,75,4.7
78,Vao,27.53,89,59.1,88,6.91
79,Tamandare,74.6,95,-8.28,64,2.33
80,Borogontsy,-48.84,0,62.67,0,2.73
81,Gumdag,36.93,88,39.2,0,14.07
82,Beringovskiy,22.26,87,63.05,92,32.64
83,Vaini,59.12,82,15.34,0,3.51
84,Sola,41.0,80,58.89,20,18.34
85,Stokmarknes,37.4,80,68.56,40,11.41
86,Yellowknife,-18.41,75,62.45,75,4.7
87,Longyearbyen,21.2,62,78.22,20,9.17
88,Aykhal,-13.34,57,65.95,44,2.89
89,Port Elizabeth,48.92,79,39.31,90,4.7
90,Veraval,46.4,80,49.65,75,6.93
91,Batemans Bay,66.36,100,-35.71,64,3.29
92,Oda,45.3,100,35.19,80,23.35
93,Santa Cruz de Tenerife,62.6,63,28.47,0,6.93
94,Morgan City,75.2,66,29.7,90,8.05
95,Tanout,55.02,61,14.97,56,9.66
96,Severo-Kurilsk,25.5,100,50.68,56,17.31
97,Guerrero Negro,71.18,48,27.97,0,4.23
98,San Cristobal,60.8,72,-0.39,75,9.17
99,Upington,84.2,23,-28.46,0,6.93
100,Pangnirtung,-25.61,74,66.15,20,4.9
101,Coihaique,48.2,66,-45.58,90,9.17
102,Vadso,30.2,86,70.07,75,10.29
103,Bedesa,41.52,67,8.9,0,2.06
104,Sibolga,68.97,100,1.74,68,1.88
105,Petkovci,28.4,100,44.45,90,1.12
106,Coro,81.53,68,11.41,20,12.12
107,Altay,-22.16,26,47.83,0,0.76
108,Hastings,67.67,100,-39.64,88,10.56
109,Hay River,-9.41,69,60.82,75,6.93
110,Sobolevo,8.67,78,54.43,56,11.68
111,Port Alfred,70.95,97,-33.59,92,6.35
112,Carnarvon,72.21,31,-30.97,0,8.32
113,Yashkino,14.0,85,55.87,0,11.18
114,Souillac,46.4,100,45.6,90,4.7
115,Narsaq,27.21,95,60.91,92,0.76
116,Port Blair,79.82,100,11.67,20,0.76
117,Valparaiso,48.92,54,41.47,40,23.04
118,Anadyr,8.6,60,64.73,48,22.37
119,Moron,77.97,58,10.49,8,5.64
120,Barrow,83.46,31,-38.31,0,5.75
121,Dunmore Town,75.77,100,25.5,80,7.14
122,Hofn,40.08,97,64.25,80,17.94
123,Bulgan,-16.04,20,48.81,0,3.11
124,Petropavlovsk-Kamchatskiy,19.4,62,53.05,48,11.18
125,East London,72.98,99,-33.02,76,0.49
126,Haicheng,-10.86,55,40.85,0,3.4
127,Marawi,56.15,94,8.0,0,2.39
128,Praia da Vitoria,60.8,87,38.73,40,22.91
129,Luderitz,60.24,80,-26.65,0,13.58
130,Easton,44.06,92,42.02,90,4.52
131,Iqaluit,-29.21,66,63.75,20,4.7
132,Rawson,69.92,20,-43.3,32,17.49
133,Floro,35.6,80,61.6,40,11.41
134,Kununurra,82.4,83,-15.77,12,5.82
135,Palmer,59.0,77,-34.85,40,9.17
136,Baley,-6.0,66,51.58,0,5.57
137,Sitka,53.45,24,37.17,0,10.94
138,Homer,19.04,87,59.64,90,3.36
139,Chake Chake,83.42,91,-5.25,48,11.05
140,Sioux Lookout,14.0,78,50.1,90,12.75
141,Ambilobe,71.67,100,-13.19,92,2.73
142,Carbonia,51.8,76,39.17,40,4.7
143,Tuktoyaktuk,-27.41,74,69.44,40,4.7
144,Hit,48.27,70,33.64,44,14.92
145,Londonderry,37.04,92,42.87,90,4.07
146,Gornyy,-0.56,78,51.76,48,3.11
147,Qasigiannguit,17.6,78,68.82,90,17.22
148,College,-14.98,76,64.86,90,3.06
149,Bathsheba,82.4,65,13.22,40,14.99
150,Uvalde,75.92,64,29.21,1,4.52
151,Hovd,37.4,90,63.83,90,10.29
152,Bambanglipuro,69.6,97,-7.95,56,2.28
153,Paramirim,76.98,52,-13.44,32,7.92
154,Karasburg,66.18,39,-28.01,0,13.69
155,Shelui,67.13,92,-4.36,64,2.62
156,Esperance,84.2,62,10.24,20,16.11
157,Jumla,16.86,90,29.28,88,1.54
158,Barabai,73.92,99,-2.59,80,2.28
